fT (L=5.5e-07) X,fT (L=5.5e-07) Y,fT (L=6.5e-07) X,fT (L=6.5e-07) Y,fT (L=7.5e-07) X,fT (L=7.5e-07) Y,fT (L=8.5e-07) X,fT (L=8.5e-07) Y,fT (L=9.5e-07) X,fT (L=9.5e-07) Y,fT (L=1.05e-06) X,fT (L=1.05e-06) Y,fT (L=1.15e-06) X,fT (L=1.15e-06) Y,fT (L=1.25e-06) X,fT (L=1.25e-06) Y,fT (L=1.35e-06) X,fT (L=1.35e-06) Y,fT (L=1.45e-06) X,fT (L=1.45e-06) Y,fT (L=1.55e-06) X,fT (L=1.55e-06) Y,fT (L=1.65e-06) X,fT (L=1.65e-06) Y,fT (L=1.75e-06) X,fT (L=1.75e-06) Y,fT (L=1.85e-06) X,fT (L=1.85e-06) Y,fT (L=1.95e-06) X,fT (L=1.95e-06) Y
25.24685435895444,72.30540063588917,25.20832651708639,52.66453811889768,25.2301315195517,40.2600529065571,25.27764526523894,31.42772886796779,25.33144774454511,25.79212466061628,25.38596008928944,21.89146728538581,25.4387073978473,19.0289618345519,25.46614074251024,16.09415241219243,25.47284073027691,13.31949489704339,25.48184702746124,11.26188975677084,25.49226481135209,9.688252104749207,25.50350570486372,8.453753314245038,25.51517795498578,7.464474487933664,25.52701870989185,6.657276943204366,25.53885115109205,5.988389093555453
25.642330772231,265.8961008463455,25.60097784791466,193.5922554108587,25.62099174311101,148.3364618505209,25.66782069205284,116.189211093326,25.72047403724256,95.68874158236649,25.77362886134584,81.49244766450849,25.8249407092941,71.06210101431091,25.85250017285021,60.2189797936463,25.86057820559322,49.88317117602396,25.87062229923636,42.21751985053636,25.88181807390729,36.35327352139061,25.89363581820519,31.75106090313997,25.90572736743586,28.06131091990492,25.91786278380561,25.04911263954309,25.92989045712179,22.55165440536616
25.99810858160691,994.2386049744358,25.95475699603034,723.4105283170063,25.97347164677462,555.4808018959807,26.01986345699226,436.531298979926,26.07162405125764,360.727537238355,26.1236736907105,308.2152490351499,26.17379280887774,269.5923158413145,26.20146868104829,228.8898459374161,26.21071435646262,189.7810703524779,26.22163212051006,160.7710739152727,26.23347789392192,138.5715523829106,26.2457730678005,121.1424289654874,26.25820732878013,107.1621997795922,26.27057923642049,95.74313287418558,26.28275894418684,86.2700990768049
26.3201572875441,3774.191601051428,26.27548038984711,2743.79445486959,26.29329683893944,2111.045055020616,26.33944731163884,1664.302815764571,26.39052264272369,1379.820881370364,26.44167321117828,1182.698237632789,26.49079857085822,1037.576052413475,26.51858636169788,882.5661535337729,26.52883365778016,732.4599764679422,26.54049653159245,621.0930466795126,26.55289287080797,535.8426840338524,26.56558897422325,468.8829419124125,26.57830769706438,415.1467637341191,26.59087250415462,371.2313745208699,26.60317252124765,334.7793655193991
26.613313125251,14524.53936946717,26.56783543904628,10548.75010667577,26.58506674285663,8131.325449119686,26.63112598234379,6430.650764626303,26.68167820549066,5348.577919255352,26.73209206989237,4598.667938455984,26.78038091254593,4046.109488688652,26.80827731743275,3447.953754348625,26.81939549863817,2864.267457978107,26.83170248660941,2431.119492582332,26.84457152308703,2099.430275350089,26.8576088851301,1838.789326699055,26.87056686522914,1629.515050137635,26.88329096990492,1458.393907922233,26.89568707229824,1316.273141209138
26.88131737941995,56596.66154528563,26.8354404661399,41059.69613097374,26.85232365285782,31707.01410457921,26.89840400223793,25152.78295238779,26.94855171247519,20986.31506920908,26.99834562762733,18098.58887964148,27.04590925013596,15969.17060509841,27.07391104068413,13633.0716647634,27.08580622481814,11336.19963586746,27.09868399066012,9631.265076453852,27.11196864160447,8325.186862360661,27.12530312126489,7298.394208051315,27.13846659221674,6473.529853226333,27.15132459863999,5798.671006342509,27.16379818435902,5237.856319297334
27.12643874917099,223049.2932519207,27.08046190759014,161629.3510040758,27.09715591535154,125029.4781720944,27.14333202228954,99486.54271917079,27.19312889565436,83264.38967347052,27.24234020736404,72020.86326482675,27.28920232308482,63724.01318172856,27.31730453457857,54499.8325153813,27.3299507446773,45362.64206644565,27.34337405847786,38578.1850710647,27.35705118600107,33378.75002606399,27.37066215798971,29289.13812013009,27.38401300605094,26002.01317909734,27.39698912820113,23311.12814816167,27.409526487487,21073.65080376326
27.34736233356328,887962.3553100961,27.30148458384744,642664.0369136897,27.31800905875804,497971.8536538473,27.36428397875281,397433.1909553333,27.41360065605593,333641.8239694375,27.46202082874704,289428.9700903158,27.50792099241564,256781.5933419606,27.53610523908674,220003.942498925,27.54968525818584,183305.8600904271,27.56377152400576,156047.0961810328,27.57791424989637,135146.9724097058,27.59184379372811,118699.3076707234,27.60540170657599,105471.5554935764,27.61849908833664,94636.67774675388,27.63109089246232,85621.94452023169
27.53020467950138,3563121.681032854,27.48448769059616,2575506.563364699,27.50042838847685,1998826.484437114,27.54654882534098,1599999.146259947,27.59455147567718,1347139.1638061,27.64101181859609,1171869.625562652,27.68457159267616,1042351.969401714,27.71273845011092,894634.8511985436,27.72821043336688,746224.0237277886,27.74359879496208,635926.4066438929,27.75862489459865,551307.0675071721,27.77313215345256,484672.352362783,27.78703957143816,431047.4597567536,27.8003129159941,387094.0605191034,27.81294671107681,350500.0506562117
27.6129513346287,14321306.83590688,27.56723807444284,10336998.47023841,27.5805656770559,8033224.713164092,27.62519678395583,6448340.263512549,27.66824013707468,5443407.233628903,27.70777823600309,4746309.761664159,27.7432259766955,4230518.840328573,27.77085576712041,3637125.720359709,27.7920512973809,3037914.199851472,27.81129906760381,2592067.003073493,27.8288757860268,2249650.175118101,27.84498688338426,1979738.723993994,27.85979639002927,1762319.585459454,27.8734412259425,1583953.176353771,27.8860386890502,1435325.114879147
