selfgain (L=5.5e-07) X,selfgain (L=5.5e-07) Y,selfgain (L=6.5e-07) X,selfgain (L=6.5e-07) Y,selfgain (L=7.5e-07) X,selfgain (L=7.5e-07) Y,selfgain (L=8.5e-07) X,selfgain (L=8.5e-07) Y,selfgain (L=9.5e-07) X,selfgain (L=9.5e-07) Y,selfgain (L=1.05e-06) X,selfgain (L=1.05e-06) Y,selfgain (L=1.15e-06) X,selfgain (L=1.15e-06) Y,selfgain (L=1.25e-06) X,selfgain (L=1.25e-06) Y,selfgain (L=1.35e-06) X,selfgain (L=1.35e-06) Y,selfgain (L=1.45e-06) X,selfgain (L=1.45e-06) Y,selfgain (L=1.55e-06) X,selfgain (L=1.55e-06) Y,selfgain (L=1.65e-06) X,selfgain (L=1.65e-06) Y,selfgain (L=1.75e-06) X,selfgain (L=1.75e-06) Y,selfgain (L=1.85e-06) X,selfgain (L=1.85e-06) Y,selfgain (L=1.95e-06) X,selfgain (L=1.95e-06) Y
25.24685435895444,230.9393733753107,25.20832651708639,274.6033460939011,25.2301315195517,315.4575941141018,25.27764526523894,354.3679351234731,25.33144774454511,393.1941015428038,25.38596008928944,432.0492451547352,25.4387073978473,471.0348045273873,25.46614074251024,502.3649520429677,25.47284073027691,524.5976810278897,25.48184702746124,545.2840461478698,25.49226481135209,564.5995446154577,25.50350570486372,582.6937088838855,25.51517795498578,599.6945734478555,25.52701870989185,615.7123215316602,25.53885115109205,630.8422546528753
25.642330772231,231.5634363469002,25.60097784791466,275.4472497610529,25.62099174311101,316.4796090393785,25.66782069205284,355.5091892115272,25.72047403724256,394.4482861197575,25.77362886134584,433.4114704486713,25.8249407092941,472.501212345373,25.85250017285021,504.023987395427,25.86057820559322,526.541716066974,25.87062229923636,547.513308200151,25.88181807390729,567.1126000820321,25.89363581820519,585.4879192661608,25.90572736743586,602.7664357829231,25.91786278380561,619.057723017586,25.92989045712179,634.456663443808
25.99810858160691,232.1099245038578,25.95475699603034,276.1879402333422,25.97347164677462,317.3778599632074,26.01986345699226,356.5129178566422,26.07162405125764,395.5519883863982,26.1236736907105,434.6108807446196,26.17379280887774,473.7929663129087,26.20146868104829,505.4860310998101,26.21071435646262,528.2556478223294,26.22163212051006,549.4796136488631,26.23347789392192,569.3302930485252,26.2457730678005,587.9549384863748,26.25820732878013,605.4799420084004,26.27057923642049,622.0143220085835,26.28275894418684,637.6525737091931
26.3201572875441,232.5926258591568,26.27548038984711,276.843570252314,26.29329683893944,318.1739815994883,26.33944731163884,357.4030921365243,26.39052264272369,396.5313760236667,26.44167321117828,435.6757303160185,26.49079857085822,474.9403191820726,26.51858636169788,506.7851364566976,26.52883365778016,529.7791534315795,26.54049653159245,551.2281810452705,26.55289287080797,571.3032695797093,26.56558897422325,590.1507057031894,26.57830769706438,607.8961773238505,26.59087250415462,624.6481957116926,26.60317252124765,640.500897680267
26.613313125251,233.0222755644174,26.56783543904628,277.4282542811192,26.58506674285663,318.8847799216207,26.63112598234379,358.1983284414933,26.68167820549066,397.4067606216512,26.73209206989237,436.6279366100552,26.78038091254593,475.9667234111742,26.80827731743275,507.94770533733,26.81939549863817,531.1430198503889,26.83170248660941,552.7941229541789,26.84457152308703,573.0708837003835,26.8576088851301,592.1187160322504,26.87056686522914,610.0626674387776,26.88329096990492,627.0107841811134,26.89568707229824,643.0568708833401
26.88131737941995,233.4071049466969,26.8354404661399,277.9528252020682,26.85232365285782,319.5231533544564,26.89840400223793,358.9129148946477,26.94855171247519,398.1937169847275,26.99834562762733,437.4842809176375,27.04590925013596,476.8901023877557,27.07391104068413,508.9939199825987,27.08580622481814,532.3708289755249,27.09868399066012,554.2043758099353,27.11196864160447,574.6633617745517,27.12530312126489,593.8924082670269,27.13846659221674,612.0159779436469,27.15132459863999,629.1416894658256,27.16379818435902,645.3630392387895
27.12643874917099,233.7528406607153,27.08046190759014,278.4247988314982,27.09715591535154,320.0980066254772,27.14333202228954,359.5566899525263,27.19312889565436,398.9028886768733,27.24234020736404,438.2561091049428,27.28920232308482,477.7224178699398,27.31730453457857,509.9372394459012,27.3299507446773,533.4784556374675,27.34337405847786,555.4771853017546,27.35705118600107,576.1012604673191,27.37066215798971,595.4945804403555,27.38401300605094,613.78107265892,27.39698912820113,631.0679623093416,27.409526487487,647.448460182858
27.34736233356328,234.0608731680998,27.30148458384744,278.8458308461578,27.31800905875804,320.6110396786282,27.36428397875281,360.1313727741612,27.41360065605593,399.5357222125534,27.46202082874704,438.9443538854286,27.50792099241564,478.4638756638237,27.53610523908674,510.7778047855828,27.54968525818584,534.4667310752674,27.56377152400576,556.6139862969158,27.57791424989637,577.3865227219652,27.59184379372811,596.9275833304213,27.60540170657599,615.3606082050394,27.61849908833664,632.7924634372164,27.63109089246232,649.3160984280582
27.53020467950138,234.3195887858059,27.48448769059616,279.1998330587359,27.50042838847685,321.0418769159343,27.54654882534098,360.6136143764797,27.59455147567718,400.0648994739307,27.64101181859609,439.5168919655979,27.68457159267616,479.0767930885032,27.71273845011092,511.472696278888,27.72821043336688,535.2881399835088,27.74359879496208,557.5623789469006,27.75862489459865,578.4615808456724,27.77313215345256,598.1284078270676,27.78703957143816,616.6858723512703,27.8003129159941,634.2405286967439,27.81294671107681,650.885102369484
27.6129513346287,234.4698547226679,27.56723807444284,279.4058664343332,27.5805656770559,321.2892492496126,27.62519678395583,360.8879157915522,27.66824013707468,400.3569823005809,27.70777823600309,439.8192263261569,27.7432259766955,479.3827983456514,27.77085576712041,511.8188275501905,27.7920512973809,535.7151990356333,27.81129906760381,558.0693930121275,27.8288757860268,579.046940951958,27.84498688338426,598.7900603298932,27.85979639002927,617.4214582900661,27.8734412259425,635.0474862875013,27.8860386890502,651.7607428824309
